instance,submission,model_name,A,B,C,D,E,F,raw_total,total_score,evidence_confidence,caps_or_flags,resolved
django__django-13112,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,9.0,14.0,21.0,16.0,8.0,8.0,76.0,76.0,medium,NO_BASELINE;MAIN_CASE_ONLY;PIPE_MASKED,True
django__django-13112,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,11,13,15,9,7,7,62,62,medium,NO_BASELINE,True
django__django-13315,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,10,10,21,20,7,8,76,76,medium,,True
django__django-13315,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,10.5,11.5,17.5,18,7.5,7,72,72,medium,,True
django__django-13315,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,8,6,9,6,5,8,42,42,low,NO_BASELINE;NO_POST_FIX_TEST;MAIN_CASE_ONLY;KNOWN_COUNTEREXAMPLE,False
django__django-13315,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,12,13,20,21,8,9,83,83,high,,True
django__django-13315,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,10,10,19,20,7,8,74,74,medium,,True
django__django-13315,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,10.5,10.5,11.0,10.0,7.5,7.0,56.5,56.5,medium,MAIN_CASE_ONLY;NO_POST_FIX_TEST,True
django__django-13315,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,5,4,15,1,6,7,38,38,low,NO_BASELINE;NO_POST_FIX_TEST,False
django__django-13315,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,8.5,8,17,8.5,6,9,57,57,medium,NO_BASELINE;NO_POST_FIX_TEST,True
django__django-13315,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,8.5,6.5,10.5,13.5,6.0,5.0,50.0,50.0,medium,NO_BASELINE;MAIN_CASE_ONLY,True
django__django-13315,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,11,10.5,18,19,8,8.5,75,75,medium,,True
django__django-13406,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,10,12,17,14,8,8.5,73.5,69.5,high,KNOWN_COUNTEREXAMPLE,True
django__django-13406,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,12.5,12,19.5,20.5,7.5,8,80,80,medium,,False
django__django-13406,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,10,13,18,14,8,9,72,72,medium,NO_BASELINE;MAIN_CASE_ONLY,True
django__django-13406,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,8,10,21,24,8,10,81,81,high,,False
django__django-13406,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,8.0,5.0,6.0,3.0,2.0,4.0,28.0,28.0,medium,NO_BASELINE;NO_POST_FIX_TEST,False
django__django-13406,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,11.0,10.5,19.5,13.5,8.0,7.0,69.5,69.5,medium,NO_BASELINE,False
django__django-13406,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,6.5,8.0,4.0,4.0,6.0,2.0,30.5,30.5,low,NO_POST_FIX_TEST;PATCH_MISMATCH;UNRELATED_CHANGES,False
django__django-13406,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,9,10,12,12,4,7,54,54,high,KNOWN_COUNTEREXAMPLE,True
django__django-13406,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,13,13,19.5,21,8,7.5,82,82,high,,False
django__django-13406,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,11.0,13.0,18.0,20.0,9.0,8.0,79.0,79.0,medium,,False
django__django-13512,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,13,13,23,20.5,10,9.5,89,89,high,,False
django__django-13512,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,13,13,22,19,8,6,81,81,medium,,False
django__django-13512,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,9,8,19,8,8,8,60,60,medium,NO_BASELINE;MAIN_CASE_ONLY,False
django__django-13512,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,10,11,17,18,7.5,8,71.5,71.5,high,,True
django__django-13512,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,9,10,16,12,8,7,62.0,62.0,medium,,True
django__django-13512,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,12.5,11.5,21.5,12.5,9,8,75.0,75.0,medium,MAIN_CASE_ONLY,False
django__django-13512,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,7,7,17,2,4,8,45,45,medium,NO_BASELINE;NO_POST_FIX_TEST,True
django__django-13512,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,6,7,21,6,6.5,6.5,53,53,medium,NO_BASELINE;NO_POST_FIX_TEST,False
django__django-13512,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,12.0,13.0,22.0,18.0,8.0,9.0,82.0,82.0,medium,,False
django__django-13512,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,9.0,9.5,18.0,12.5,8.5,9.0,66.5,66.5,medium,,False
django__django-13551,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,12,12,22,14,8,8,76,76,medium,NO_POST_FIX_TEST,True
django__django-13551,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,12,13,21,22,8,9,85,85,high,,False
django__django-13551,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,11,11,21.5,10,8,9,70.5,70.5,medium,NO_BASELINE,True
django__django-13551,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,12,14,21,18,8,5,78,78,medium,,True
django__django-13551,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,14,12,23,24,7,8,88,88,high,,True
django__django-13551,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,14,14,22,17,9,8,84,84,medium,,True
django__django-13551,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,9,8.5,20,1.5,6.5,5.5,51,51,medium,NO_BASELINE;NO_POST_FIX_TEST,False
django__django-13551,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,12,12,24,17.5,8.8,8.5,82.8,82.8,medium,NO_BASELINE,True
django__django-13551,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,13.5,13.5,22.5,21.5,8.5,9.5,89,88.99999999999999,high,,True
django__django-13551,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,11.5,11.5,21,14.5,8.5,9,76,76,medium,NO_BASELINE,True
django__django-13925,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,12,13.5,21,11,7.5,9.6,74.6,74.6,medium,NO_BASELINE;NO_POST_FIX_TEST,False
django__django-13925,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,14.0,14.0,20.5,24.0,9.0,6.5,88.0,88.0,high,,False
django__django-13925,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,13.5,13.5,23.5,24,8,9.5,92.0,92.0,high,,True
django__django-13925,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,12,14,24,23,9,7,89,89,high,,True
django__django-13925,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,11,11,18,8,6,5,59,59,medium,NO_BASELINE,True
django__django-13925,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,14,14,23,20,9,9,89,89,high,,True
django__django-13925,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,7.0,7.5,19.5,0.0,5.0,6.0,45.0,45.0,medium,NO_BASELINE;NO_POST_FIX_TEST,True
django__django-13925,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,12.0,12.5,22.0,17.5,8.0,8.0,80.0,80.0,medium,NO_BASELINE,True
django__django-13925,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,10.0,11.0,21.0,8.0,6.5,7.0,63.5,63.5,medium,NO_BASELINE,False
django__django-13925,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,9.5,11,17.5,16,7,7,68.0,68.0,medium,,True
django__django-14053,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,13,13,23,22,9,9,89,89,high,,False
django__django-14053,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,8.0,10.5,12.0,14.0,7.5,6.5,61.0,58.5,medium,KNOWN_COUNTEREXAMPLE;MAIN_CASE_ONLY,False
django__django-14053,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,10,10,18,12,7,8,65,65,medium,NO_BASELINE;MAIN_CASE_ONLY,True
django__django-14053,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,10.5,13.0,20.5,18.5,8.5,8.5,79.5,79.5,medium,,True
django__django-14053,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,8,8,10,9,5,6,46,46,medium,NO_POST_FIX_TEST;PIPE_MASKED,True
django__django-14053,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,11,14.2,23.7,13.3,7.2,7.3,76.7,76.7,medium,NO_BASELINE;NO_POST_FIX_TEST,True
django__django-14053,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,9,10,2,4,4,1,30,30,medium,NO_BASELINE;MAIN_CASE_ONLY;PATCH_MISMATCH,False
django__django-14053,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,9.0,8.5,12.0,12.5,5.5,6.0,53.5,53.5,medium,MAIN_CASE_ONLY,True
django__django-14053,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,12,11,17,16,8,9,73,73,medium,NO_BASELINE,True
django__django-14053,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,9,10,19,14,9,9,70,70,medium,NO_BASELINE,True
django__django-14351,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,11.5,11.5,17,20,8,9,77,77,medium,,True
django__django-14351,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,12,13,21,18,8,7,79,79,medium,,True
django__django-14351,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,12.5,13,21,18,8,8.5,81.0,81.0,medium,NO_BASELINE,True
django__django-14351,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,10,11,18,14,7.5,8.5,69,69,medium,NO_BASELINE,True
django__django-14351,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,4.5,6,3,1,5.5,4.2,24.2,24.2,low,NO_BASELINE;NO_POST_FIX_TEST,False
django__django-14351,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,11.0,11.5,20.5,15.5,7.5,8.0,74.0,74.0,medium,,False
django__django-14351,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,11.5,12.5,20.5,16.0,8.0,8.0,76.5,76.5,medium,,True
django__django-14351,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,10.5,13.0,12.0,17.1,6.0,8.0,66.6,66.6,medium,,True
django__django-14376,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,9.5,8.5,19,5,7,8.5,57.5,57.5,low,NO_BASELINE;NO_POST_FIX_TEST,True
django__django-14376,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,11.5,11.5,22,17.5,8,8.5,79,79,medium,,False
django__django-14376,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,8.5,10,21,4,5,7,55.5,55.5,medium,NO_BASELINE;NO_POST_FIX_TEST;UNRELATED_CHANGES,False
django__django-14376,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,10,9,19,11.5,8,8,65.5,65.5,medium,NO_BASELINE,True
django__django-14376,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,13.0,12.5,22.5,17.5,8.5,9.0,83.0,83.0,medium,NO_BASELINE,True
django__django-14376,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,12.5,10.5,19,7,7.5,9,65.5,65.5,medium,,False
django__django-14376,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,6.5,6.5,18,1,4,5.5,41.5,41.5,medium,NO_BASELINE;NO_POST_FIX_TEST,False
django__django-14376,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,3,6,19,0,7,8,43,43,medium,NO_BASELINE;NO_POST_FIX_TEST,False
django__django-14376,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,10.5,10.5,17.0,10.5,7.0,9.0,64.5,64.5,medium,NO_BASELINE;NO_POST_FIX_TEST,True
django__django-14376,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,7.5,9,20,10,6.5,9,62,62,medium,NO_BASELINE,True
django__django-14404,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,8,10,22,8,8,8.5,64.5,64.5,medium,NO_BASELINE,False
django__django-14404,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,11.0,12.5,20.0,14.5,6.5,5.5,70.0,70.0,medium,,True
django__django-14404,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,10,9,19,10,7,7,62,62,medium,NO_BASELINE;NO_POST_FIX_TEST,True
django__django-14404,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,12,12.5,21,16.5,8,8.5,78.5,78.5,medium,NO_BASELINE;MAIN_CASE_ONLY,True
django__django-14404,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,13.5,13.5,23.5,18.5,9.5,9.5,88.0,88.0,medium,NO_BASELINE,True
django__django-14404,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,12,12,21,8,9,9,71,71,medium,,True
django__django-14404,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,8,4,20,0,7,9,48,48,medium,NO_BASELINE;NO_POST_FIX_TEST,True
django__django-14404,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,10.5,10.5,20,13,6.5,7,67.5,67.5,medium,,False
django__django-14404,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,10,9,20,8.5,7,8.5,63,63,medium,NO_BASELINE,False
django__django-14404,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,11,11,20,14,8,9,73,73,medium,NO_BASELINE,True
django__django-14534,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,12,13,20,18,8,7,78,78,medium,PIPE_MASKED,False
django__django-14534,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,10.5,9.5,14,8.5,7,8,57.5,57.5,medium,KNOWN_COUNTEREXAMPLE;PATCH_MISMATCH;NO_POST_FIX_TEST,True
django__django-14534,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,12,13,21,21,9,6,82,82,medium,,False
django__django-14534,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,11,13,16,13,7,9,69,69,medium,KNOWN_COUNTEREXAMPLE,False
django__django-14534,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,12,12,20,13,7.5,8.5,73,73,medium,NO_BASELINE,False
django__django-14534,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,8,8,19,2,5,6,48,48,medium,NO_BASELINE;NO_POST_FIX_TEST,False
django__django-14534,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,12,14,22,17,7,8,80,80,medium,,True
django__django-14534,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,13,12,18,14,8,9,81,74,medium,KNOWN_COUNTEREXAMPLE,True
django__django-14534,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,10,12,17,13,9,9,70,70,medium,NO_BASELINE,False
django__django-14631,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,12.0,12.5,21.0,16.0,8.0,7.5,77.0,77.0,medium,,True
django__django-15563,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,9.7,11.3,20.7,12.5,6.7,8.5,69.4,69.4,high,,False
django__django-16642,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,15,15,22,23,8,7.5,90.5,90.5,medium,,False
